id;name;image;price
1;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;66252
2;hardware Costa Rica Mayotte;Industrial;84228
3;Views e-enable Communications;National Awesome sky blue;4522
4;software scale interactive;Louisiana Specialist Home Loan Account;27599
5;scalable;Small;98688
6;index orange;Jewelery;19884
7;monitor 1080p Checking Account;world-class Frozen IB;62329
8;archive Fantastic Plastic Chicken;payment;59129
9;tangible Mississippi;Frozen bus;76078
10;Idaho compress Avon;system Small;43933
